iter	MultiClass
0	1.850075796
1	1.665285532
2	1.539377473
3	1.456637399
4	1.367569787
5	1.306465259
6	1.259262365
7	1.220261389
8	1.182443106
9	1.154618928
10	1.125871965
11	1.089979016
12	1.070580241
13	1.042238195
14	1.02689857
15	1.012943323
16	0.9886522447
17	0.9673933811
18	0.9504497135
19	0.9382076043
20	0.9305982895
21	0.9180581305
22	0.9050961846
23	0.8964352322
24	0.8838477571
25	0.8769782715
26	0.8648727087
27	0.8595966656
28	0.8509521624
29	0.8362576316
30	0.8316668675
31	0.8210829734
32	0.8151211285
33	0.8071278849
34	0.8008894916
35	0.7935027962
36	0.7892454034
37	0.7817038476
38	0.772247189
39	0.7635914675
40	0.757191328
41	0.7512723922
42	0.7470770599
43	0.7386223978
44	0.7306718649
45	0.7254076903
46	0.7159404116
47	0.7073103682
48	0.7010357186
49	0.6950296631
50	0.6901658022
51	0.6844990004
52	0.6790907464
53	0.6733837941
54	0.6672142916
55	0.6631365284
56	0.6570833629
57	0.6517878268
58	0.6488223984
59	0.6445334755
60	0.6394592003
61	0.6355015522
62	0.630624395
63	0.627624329
64	0.6257611377
65	0.6244675339
66	0.6231063552
67	0.6168705132
68	0.6145812015
69	0.6111728195
70	0.60763685
71	0.6052725788
72	0.5998354654
73	0.5964368123
74	0.5945008123
75	0.5903838568
76	0.5873968889
77	0.586509046
78	0.5833286992
79	0.5801758822
80	0.5786603238
81	0.5755496095
82	0.5731108545
83	0.5697334963
84	0.5683000276
85	0.5670740226
86	0.5654069839
87	0.5631971893
88	0.5613564565
89	0.557534073
90	0.5559257622
91	0.5526333652
92	0.5511716014
93	0.5474656193
94	0.5452007874
95	0.5420568592
96	0.5398317518
97	0.5374028623
98	0.534720478
99	0.5334150288
100	0.5320398207
101	0.5311275333
102	0.5277853616
103	0.5265631758
104	0.5250856154
105	0.5236944062
106	0.5218075429
107	0.5204230069
108	0.5188024083
109	0.5153543815
110	0.5146341047
111	0.5131283931
112	0.5118885821
113	0.5092261645
114	0.5082126671
115	0.50717734
116	0.5043175468
117	0.5020008436
118	0.5009349887
