date,model,f1_macro,f1_weighted,duration_sec
2026-07-20 13:03:11,log_reg,0.5499,0.7601,2.15
2026-07-20 13:04:06,log_reg,0.5437,0.7581,1.69
2026-07-20 13:04:34,log_reg,0.5437,0.7581,1.71
2026-07-20 13:05:08,log_reg,0.5545,0.7645,2.76
2026-07-20 13:05:45,log_reg,0.5527,0.7637,2.35
2026-07-20 13:39:05,catboost,0.3855,0.6668,72.76
2026-07-20 14:05:15,catboost,0.4349,0.7313,214.47
2026-07-20 20:16:11,rubert,0.6623,0.8317,205.14
2026-07-20 20:29:50,rubert,0.6758,0.8461,201.15
2026-07-20 20:35:22,rubert,0.5244,0.8230,69.32
