=== Classification Report (all classes) ===
,precision,recall,f1-score,support
0,0.7761194029850746,0.5842696629213483,0.6666666666666666,89.0
1,0.0,0.0,0.0,5.0
3,0.6481481481481481,0.9562841530054644,0.7726269315673289,183.0
4,0.0,0.0,0.0,17.0
5,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,1.0
8,0.8,0.18181818181818182,0.2962962962962963,22.0
10,1.0,0.1111111111111111,0.2,9.0
16,1.0,0.38461538461538464,0.5555555555555556,26.0
accuracy,0.6855524079320113,0.6855524079320113,0.6855524079320113,0.6855524079320113
macro avg,0.46936306123702476,0.2464553881634989,0.27679393889842746,353.0
weighted avg,0.6806961415772883,0.6855524079320113,0.6331077189040156,353.0

=== Summary ===
,accuracy,f1_macro,f1_weighted
0,0.6855524079320113,0.27679393889842746,0.6331077189040156
