=== Classification Report (all classes) ===
,precision,recall,f1-score,support
Аварийные деревья,0.6842105263157895,0.8125,0.7428571428571429,16.0
Безнадзорные животные,1.0,1.0,1.0,5.0
Безопасная дорога в школу на дорогах в границах городских округов и сельских поселений,0.0,0.0,0.0,2.0
Длительное неисполнение заявок управляющей компанией,1.0,0.14285714285714285,0.25,7.0
Дорожные знаки на дорогах в границах городских округов и сельских поселений,1.0,0.2,0.3333333333333333,5.0
Ливневая канализация,0.5,0.2,0.2857142857142857,5.0
Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,0.2054794520547945,0.967741935483871,0.3389830508474576,31.0
Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Нарушение теплоснабжения многоквартирного дома,0.9,0.75,0.8181818181818182,12.0
Нарушения в вопросах назначения и выплат пособий и компенсаций,1.0,0.8571428571428571,0.9230769230769231,7.0
Нарушения связанные с обеспечением лекарственными средствами,0.0,0.0,0.0,3.0
"Нарушения, связанные с содержанием электросети и качеством энергоснабжения в районе частного сектора",0.0,0.0,0.0,4.0
Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,0.8,0.4444444444444444,0.5714285714285714,9.0
Недостаточное количество транспорта на маршруте при осуществлении муниципальных (пригородных) перевозок,1.0,0.42857142857142855,0.6,7.0
Некачественная уборка дворовой территории многоквартирных домов,0.0,0.0,0.0,4.0
Некачественное водоснабжение в районе частного сектора,0.0,0.0,0.0,5.0
Некачественное водоснабжение многоквартирного дома,0.5625,0.9,0.6923076923076923,10.0
Необходимо строительство тротуара,0.0,0.0,0.0,3.0
Неприятные запахи,0.8,0.4444444444444444,0.5714285714285714,9.0
Неработающее наружное освещение,0.625,0.9090909090909091,0.7407407407407407,22.0
Несанкционированные свалки твёрдых бытовых отходов,0.7,0.8235294117647058,0.7567567567567568,17.0
Несвоевременная очистка дворовой территории многоквартирных домов от наледи и снега,0.0,0.0,0.0,3.0
Несвоевременное восстановление нарушенного благоустройства после проведения ремонтных работ,0.0,0.0,0.0,4.0
Несвоевременный (некачественный) текущий ремонт многоквартирного дома,0.0,0.0,0.0,6.0
Нескошенная сорная растительность в местах общего пользования в микрорайонах ИЖС,1.0,0.25,0.4,4.0
Нескошенная сорная растительность в местах общего пользования в районах частного сектра,0.0,0.0,0.0,4.0
Неудовлетворительная уборка и освещение мест общего пользования в многоквартирном доме,0.0,0.0,0.0,3.0
Неудовлетворительная уборка улиц и тротуаров,0.5,0.2,0.2857142857142857,10.0
Неудовлетворительное качество оказания медицинской помощи,1.0,0.7142857142857143,0.8333333333333334,7.0
Неудовлетворительное санитарное состояние транспорта при осуществлении  муниципальных (пригородных) перевозок,0.0,0.0,0.0,4.0
Неудовлетворительное содержание детской (спортивной) площадки на территории многоквартирных домов,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Неудовлетворительное содержание клумб и газонов,0.0,0.0,0.0,6.0
Неудовлетворительное содержание парков и скверов,0.0,0.0,0.0,5.0
"Неудовлетворительное содержание фасадов зданий и сооружений, общественных мест",0.0,0.0,0.0,5.0
Освещение дорог в границах городских округов и сельских поселений,0.0,0.0,0.0,5.0
Отсутствие люков на коммуникационных колодцах,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Отсутствие твёрдого дорожного покрытия на дорогах в границах городских округов и сельских поселений,0.0,0.0,0.0,8.0
Очистка от снега и наледи дорог в границах городских округов и сельских поселений,0.5714285714285714,0.4444444444444444,0.5,9.0
Парковки на дорогах в границах городских округов и сельских поселений,1.0,0.125,0.2222222222222222,8.0
Пешеходные переходы на дорогах в границах городских округов и сельских поселений,0.8,0.5714285714285714,0.6666666666666666,7.0
Светофоры на дорогах в границах городских округов и сельских поселений,1.0,0.8571428571428571,0.9230769230769231,7.0
Сертификат вакцинированного,0.0,0.0,0.0,2.0
Сертификат переболевшего,0.0,0.0,0.0,2.0
Ямы и выбоины на внутридворовых проездах и тротуарах  в районах многоквартирных домов,0.0,0.0,0.0,3.0
Ямы и выбоины на тротуарах,0.0,0.0,0.0,3.0
accuracy,0.5091463414634146,0.5091463414634146,0.5091463414634146,0.5091463414634146
macro avg,0.4216447861154663,0.3145274504936112,0.3247542661290307,328.0
weighted avg,0.531465862388179,0.5091463414634146,0.460571981662825,328.0

=== Summary ===
,accuracy,f1_macro,f1_weighted
0,0.5091463414634146,0.3247542661290307,0.460571981662825
