=== Classification Report (all classes) ===
,precision,recall,f1-score,support
0,0.7788461538461539,0.84375,0.81,96.0
1,1.0,0.8,0.8888888888888888,5.0
3,0.845771144278607,0.8900523560209425,0.8673469387755102,191.0
4,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
5,0.0,0.0,0.0,2.0
6,0.0,0.0,0.0,2.0
7,1.0,0.6,0.75,5.0
8,1.0,0.8928571428571429,0.9433962264150944,28.0
10,0.9,0.9,0.9,10.0
11,0.5,0.25,0.3333333333333333,4.0
13,0.3333333333333333,0.5,0.4,2.0
15,1.0,1.0,1.0,1.0
16,0.8260869565217391,0.6333333333333333,0.7169811320754716,30.0
accuracy,0.8417085427135679,0.8417085427135679,0.8417085427135679,0.8417085427135679
macro avg,0.702967926348099,0.6357337143659134,0.6588070749256734,398.0
weighted avg,0.8360823987154863,0.8417085427135679,0.8358682698135352,398.0

=== Summary ===
,accuracy,f1_macro,f1_weighted
0,0.8417085427135679,0.6588070749256734,0.8358682698135352
