=== Classification Report (all classes) ===
,precision,recall,f1-score,support
0,0.7788461538461539,0.84375,0.81,96.0
1,1.0,0.8,0.8888888888888888,5.0
3,0.8104265402843602,0.8952879581151832,0.8507462686567164,191.0
4,0.9565217391304348,1.0,0.9777777777777777,22.0
5,0.0,0.0,0.0,2.0
6,0.0,0.0,0.0,2.0
7,0.8,0.8,0.8,5.0
8,1.0,0.9285714285714286,0.9629629629629629,28.0
10,1.0,0.8,0.8888888888888888,10.0
11,0.0,0.0,0.0,4.0
13,0.0,0.0,0.0,2.0
15,0.5,1.0,0.6666666666666666,1.0
16,0.9333333333333333,0.4666666666666667,0.6222222222222222,30.0
accuracy,0.8316582914572864,0.8316582914572864,0.8316582914572864,0.8316582914572864
macro avg,0.5983944435841756,0.5795596964117906,0.5744733596972403,398.0
weighted avg,0.819357231719631,0.8316582914572864,0.8175710503873709,398.0

=== Summary ===
,accuracy,f1_macro,f1_weighted
0,0.8316582914572864,0.5744733596972403,0.8175710503873709
